run_id,config_id,config_path,paper_id,paper_name,paper_type,wrapper_path,wrapper_status,run_dir,timeout_sec,exit_code,timeout,result_status_prelim,start_iso,end_iso,elapsed_sec,notes
"energy_baseline_off__bp_2","energy_baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_energy_baseline_off","bp_2","BP-2","M","experiments/paper-mascar/workloads/wrappers/run_bp_2.sh","ready","experiments/paper-mascar/energy/W25F/results/w25f_energy_actual_20260605_215821/runs/energy_baseline_off/bp_2","1800","0","0","completed_exit0","2026-06-05T21:58:21+08:00","2026-06-05T21:58:29+08:00","8","W25F rerun; W24 M2/M4 active memory row"
"energy_baseline_off__srad_1","energy_baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_energy_baseline_off","srad_1","srad-1","M","experiments/paper-mascar/workloads/wrappers/run_srad_1.sh","ready","experiments/paper-mascar/energy/W25F/results/w25f_energy_actual_20260605_215821/runs/energy_baseline_off/srad_1","1800","0","0","completed_exit0","2026-06-05T21:58:29+08:00","2026-06-05T21:58:37+08:00","8","W25F rerun; W24 M2/M4 active memory row"
"energy_baseline_off__bp_1","energy_baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_energy_baseline_off","bp_1","BP-1","C","experiments/paper-mascar/workloads/wrappers/run_bp_1.sh","ready","experiments/paper-mascar/energy/W25F/results/w25f_energy_actual_20260605_215821/runs/energy_baseline_off/bp_1","1800","0","0","completed_exit0","2026-06-05T21:58:37+08:00","2026-06-05T21:58:45+08:00","8","W25F rerun; W24 M2/M4 active compute row"
"energy_baseline_off__spmv","energy_baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_energy_baseline_off","spmv","spmv","M","experiments/paper-mascar/workloads/wrappers/run_spmv.sh","ready","experiments/paper-mascar/energy/W25F/results/w25f_energy_actual_20260605_215821/runs/energy_baseline_off/spmv","1800","0","0","completed_exit0","2026-06-05T21:58:45+08:00","2026-06-05T22:13:22+08:00","877","W25F rerun; W16/W25E energy-stable and W24 ready memory row"
"energy_baseline_off__mri_q","energy_baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_energy_baseline_off","mri_q","mri-q","C","experiments/paper-mascar/workloads/wrappers/run_mri_q.sh","ready","experiments/paper-mascar/energy/W25F/results/w25f_energy_actual_20260605_215821/runs/energy_baseline_off/mri_q","1800","0","0","completed_exit0","2026-06-05T22:13:22+08:00","2026-06-05T22:13:29+08:00","7","W25F rerun; W16 energy-stable and W24 ready compute row"
"energy_baseline_off__pathfinder","energy_baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_energy_baseline_off","pathfinder","pathfinder","C","experiments/paper-mascar/workloads/wrappers/run_pathfinder.sh","ready","experiments/paper-mascar/energy/W25F/results/w25f_energy_actual_20260605_215821/runs/energy_baseline_off/pathfinder","1800","0","0","completed_exit0","2026-06-05T22:13:29+08:00","2026-06-05T22:14:19+08:00","50","W25F rerun; W16 energy-stable and W24 ready compute row"
"energy_m4_reexec_load__bp_2","energy_m4_reexec_load","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_energy_m4_reexec_load_on","bp_2","BP-2","M","experiments/paper-mascar/workloads/wrappers/run_bp_2.sh","ready","experiments/paper-mascar/energy/W25F/results/w25f_energy_actual_20260605_215821/runs/energy_m4_reexec_load/bp_2","1800","0","0","completed_exit0","2026-06-05T22:14:19+08:00","2026-06-05T22:14:27+08:00","8","W25F rerun; W24 M2/M4 active memory row"
"energy_m4_reexec_load__srad_1","energy_m4_reexec_load","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_energy_m4_reexec_load_on","srad_1","srad-1","M","experiments/paper-mascar/workloads/wrappers/run_srad_1.sh","ready","experiments/paper-mascar/energy/W25F/results/w25f_energy_actual_20260605_215821/runs/energy_m4_reexec_load/srad_1","1800","0","0","completed_exit0","2026-06-05T22:14:27+08:00","2026-06-05T22:14:35+08:00","8","W25F rerun; W24 M2/M4 active memory row"
"energy_m4_reexec_load__bp_1","energy_m4_reexec_load","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_energy_m4_reexec_load_on","bp_1","BP-1","C","experiments/paper-mascar/workloads/wrappers/run_bp_1.sh","ready","experiments/paper-mascar/energy/W25F/results/w25f_energy_actual_20260605_215821/runs/energy_m4_reexec_load/bp_1","1800","0","0","completed_exit0","2026-06-05T22:14:35+08:00","2026-06-05T22:14:43+08:00","8","W25F rerun; W24 M2/M4 active compute row"
"energy_m4_reexec_load__spmv","energy_m4_reexec_load","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_energy_m4_reexec_load_on","spmv","spmv","M","experiments/paper-mascar/workloads/wrappers/run_spmv.sh","ready","experiments/paper-mascar/energy/W25F/results/w25f_energy_actual_20260605_215821/runs/energy_m4_reexec_load/spmv","1800","0","0","completed_exit0","2026-06-05T22:14:43+08:00","2026-06-05T22:28:44+08:00","841","W25F rerun; W16/W25E energy-stable and W24 ready memory row"
"energy_m4_reexec_load__mri_q","energy_m4_reexec_load","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_energy_m4_reexec_load_on","mri_q","mri-q","C","experiments/paper-mascar/workloads/wrappers/run_mri_q.sh","ready","experiments/paper-mascar/energy/W25F/results/w25f_energy_actual_20260605_215821/runs/energy_m4_reexec_load/mri_q","1800","0","0","completed_exit0","2026-06-05T22:28:45+08:00","2026-06-05T22:28:52+08:00","7","W25F rerun; W16 energy-stable and W24 ready compute row"
"energy_m4_reexec_load__pathfinder","energy_m4_reexec_load","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_energy_m4_reexec_load_on","pathfinder","pathfinder","C","experiments/paper-mascar/workloads/wrappers/run_pathfinder.sh","ready","experiments/paper-mascar/energy/W25F/results/w25f_energy_actual_20260605_215821/runs/energy_m4_reexec_load/pathfinder","1800","0","0","completed_exit0","2026-06-05T22:28:52+08:00","2026-06-05T22:29:42+08:00","50","W25F rerun; W16 energy-stable and W24 ready compute row"
